,Name,Categories,City,Latitude,Longitude
173,Exhale,Spa,Atlanta,33.78329394640629,-84.38336849212646
174,Fat Matt's Rib Shack,BBQ Joint,Atlanta,33.80461023752298,-84.36718142266446
175,South City Kitchen,Southern / Soul Food Restaurant,Atlanta,33.77672169131819,-84.38409805297852
176,"Tower Beer, Wine & Spirits",Liquor Store,Atlanta,33.81558722173413,-84.36627839630434
177,Cafe Agora,Mediterranean Restaurant,Atlanta,33.78093171030256,-84.38445973743671
178,Eventide Brewing,Brewery,Atlanta,33.72668528625053,-84.37701307438189
179,Wood’s Chapel BBQ,BBQ Joint,Atlanta,33.73655,-84.384982
180,National Center for Civil and Human Rights,History Museum,Atlanta,33.764039245541376,-84.39308606163704
181,Ecco Midtown,Mediterranean Restaurant,Atlanta,33.77882657733719,-84.38598836608416
182,High Museum of Art,Art Museum,Atlanta,33.78954635783294,-84.38594991375872
183,Centennial Olympic Park,Park,Atlanta,33.76035574468761,-84.39350724220276
184,Mercedes-Benz Stadium,Football Stadium,Atlanta,33.75529816886493,-84.40094232559204
185,Atlanta Symphony Hall,Concert Hall,Atlanta,33.788659788486676,-84.3854777951624
186,The Tabernacle,Music Venue,Atlanta,33.75871863044298,-84.39145525628788
187,Mac's Beer & Wine,Liquor Store,Atlanta,33.780916,-84.387992
188,Ocean Voyager built by The Home Depot,General Entertainment,Atlanta,33.763131594120566,-84.39482682526112
189,Georgia Aquarium,Aquarium,Atlanta,33.76318578865493,-84.39490147560507
190,College Football Hall of Fame,Museum,Atlanta,33.760184,-84.3951345
191,CamiCakes,Cupcake Shop,Atlanta,33.814837355811086,-84.3914270902403
192,Your Pie,Pizza Place,Lawrenceville,33.9006153,-84.00415579999999
193,Chick-fil-A,Fast Food Restaurant,Snellville,33.887652,-84.0100388
194,The Lincoln Fill Station & Home Brew,Beer Store,Snellville,33.85512323365973,-84.0242316185383
195,Ted's Montana Grill,American Restaurant,Buford,34.062576,-83.994085
196,Mellow Mushroom,Pizza Place,Snellville,33.856089,-83.997266
197,Little Mulberry Park,Trail,Dacula,34.05417856934171,-83.88553230290388
198,Chick-fil-A,Fast Food Restaurant,Buford,34.0793602,-83.917718
199,The Forum on Peachtree Parkway,Shopping Mall,Norcross,33.98086832960771,-84.21755392071879
200,Jeni's Splendid Ice Creams,Ice Cream Shop,Alpharetta,34.0707429286948,-84.27403356019984
201,Antico Pizza Avalon,Pizza Place,Alpharetta,34.071374785803336,-84.27670004057781
202,Chattahoochee River National Recreation Area,Trail,Atlanta,33.9872916339747,-84.32518923379442
203,Madras Mantra,South Indian Restaurant,Decatur,33.81060798417284,-84.27126975097968
204,Sigman Bottle Shop,Liquor Store,Conyers,33.686389121122915,-84.00305945052106
205,REI,Sporting Goods Shop,Atlanta,33.92881745615325,-84.34883236885071
206,Athens Greek Restaurant,Greek Restaurant,Roswell,34.04097856514359,-84.34116384957018
207,Thai Palace,Thai Restaurant,Conyers,33.665539626830636,-84.01584307355049
208,Hearth Pizza Tavern,Pizza Place,Atlanta,33.9186785557331,-84.38160038131306
209,Forum Athletic Club,Gym,Atlanta,33.84669515876004,-84.36176989792828
210,Marietta Farmer's Market,Farmers Market,Marietta,33.953207686608934,-84.55027241646137
211,Kennesaw Mountain National Battlefield Park,National Park,Kennesaw,33.98359066544979,-84.57825358261458
212,Top Of Kennesaw Mountain,Trail,Kennesaw,33.97792238679738,-84.57752130993171
213,Smyrna Village Green,Park,Smyrna,33.880123645213146,-84.51722875953277
214,Barnes & Noble,Bookstore,Marietta,33.951599988385816,-84.65683803470583
215,Jersey Mike's Subs,Sandwich Place,Kennesaw,34.005724,-84.576914
216,Porch Light Latin Kitchen,Latin American Restaurant,Smyrna,33.88518602677625,-84.5155622932842
217,Rev Coffee,Coffee Shop,Smyrna,33.88222257589188,-84.50419777200925
218,Silver Comet Trail,Trail,Austell,33.846997552454766,-84.58566998675548
219,Swift-Cantrell Park,Park,Kennesaw,34.030574798163386,-84.6478132583622
220,Eleanor's,Cocktail Bar,Smyrna,33.84916101312574,-84.49165674227969
221,Muss & Turner's,Sandwich Place,Smyrna,33.84917848851792,-84.49175586081704
222,Silver Comet Trail,Trail,Smyrna,33.84082644452991,-84.51390892267226
223,Reveille Cafe,Café,Acworth,33.9981995255998,-84.70684364502341
224,NCG Cinemas,Movie Theater,Acworth,34.04037131230809,-84.67750270773955
225,Henry's Louisiana Grill,Cajun / Creole Restaurant,Acworth,34.066010692092426,-84.6777275075168
226,Scofflaw Brewing Co.,Brewery,Atlanta,33.81377158089146,-84.44504515506983
227,Hankook Taqueria,Taco Place,Atlanta,33.81144449101696,-84.43160027846834
228,Sweetwater Creek State Park,State / Provincial Park,Lithia Springs,33.753364653025244,-84.63130343002473
229,Monday Night Brewing,Brewery,Atlanta,33.79497624180679,-84.40998177521644
230,Jeni's Splendid Ice Creams,Ice Cream Shop,Atlanta,33.78692157875245,-84.41219180818331
231,Anis Cafe & Bistro,French Restaurant,Atlanta,33.835802526986015,-84.37652535800399
232,Barcelona Wine Bar,Tapas Restaurant,Atlanta,33.7845225,-84.4113741
233,HEAT,Gym,Atlanta,33.792256600719284,-84.40426137385164
234,Doguroo,Pet Store,Atlanta,33.79419784789974,-84.40946266922106
235,The Optimist,Seafood Restaurant,Atlanta,33.779891644417035,-84.41059717939422
236,Gio's Chicken Amalfitano,Italian Restaurant,Atlanta,33.78487453102762,-84.40593278038521
237,Stoddard's Range and Guns,Gun Shop,Atlanta,33.79299464363589,-84.40380429743904
238,Antico Pizza Napoletana,Pizza Place,Atlanta,33.784637,-84.40559
239,Sublime Doughnuts,Donut Shop,Atlanta,33.781734382239335,-84.40492984733824
240,Tuk Tuk Thai Food Loft,Thai Restaurant,Atlanta,33.80165694584953,-84.39246448272368
241,Marcel,Steakhouse,Atlanta,33.78581992194668,-84.41258507007812
242,Krispy Kreme Doughnuts,Donut Shop,Riverdale,33.5722974,-84.4130562
243,Crystal Lake Golf Club,Golf Course,Hampton,33.45809531010579,-84.25012267572171
244,Chick-fil-A,Fast Food Restaurant,Fayetteville,33.4298637,-84.4587033
245,One Flew South,Sushi Restaurant,Atlanta,33.64093541637026,-84.42590997894764
246,Delta Flight Museum,Museum,Atlanta,33.656201228272415,-84.42214484894274
247,Oz Pizza,Pizza Place,East Point,33.67885493613844,-84.44058250582633
248,Golds Gym,Gym,McDonough,33.431172535058735,-84.17423002186413
249,Monday Night Garage,Brewery,Atlanta,33.72940670048745,-84.41830253935484
250,Chick-fil-A,Fast Food Restaurant,Peachtree City,33.4405095,-84.5907624
251,Chick-fil-A,Fast Food Restaurant,Peachtree City,33.4097586,-84.5673223
252,Chick-fil-A,Fast Food Restaurant,McDonough,33.4392897,-84.1229061
253,Gunshow,Restaurant,Atlanta,33.74067488669494,-84.35808918330585
254,Wine Shoe,Wine Shop,Atlanta,33.75155944634878,-84.39893717875819
255,Ria's Bluebird,Breakfast Spot,Atlanta,33.746583624581845,-84.37352962650318
256,Arden's Garden,Juice Bar,Atlanta,33.75099817271621,-84.32192713389071
257,Falcon Statue,Outdoor Sculpture,Atlanta,33.756378355326085,-84.39947789168252
258,Grindhouse Killer Burgers,Burger Joint,Atlanta,33.75424049764732,-84.3798550136115
259,Ammazza,Pizza Place,Atlanta,33.75402,-84.36795
260,Sweet Auburn Curb Market,Farmers Market,Atlanta,33.75421463616757,-84.37995286177879
261,LottaFrutta,Café,Atlanta,33.755894283787306,-84.3680533814202
262,Chick-fil-A,Fast Food Restaurant,Atlanta,33.7244791,-84.511251
263,Mercedes-Benz Club,Sports Club,Atlanta,33.755579030221824,-84.40068474381265
