,Name,Categories,City,Latitude,Longitude
340,Waffle House,Breakfast Spot,Fayetteville,33.448872,-84.48482
341,Frank's @ The Old Mill,Mediterranean Restaurant,Fayetteville,33.448829310512544,-84.4949210579593
342,Twisted Taco,Restaurant,Fayetteville,33.44800712338451,-84.45525408601962
343,Smoothie King,Smoothie Shop,Fayetteville,33.476774,-84.448827
344,Starbucks,Coffee Shop,Fairburn,33.53862249797486,-84.57626223564148
345,Michaels,Arts & Crafts Store,Fayetteville,33.456264803036056,-84.45338768893635
346,Chick-fil-A,Fast Food Restaurant,Fayetteville,33.4674852,-84.4465426
347,Starbucks,Coffee Shop,Fayetteville,33.4758204176778,-84.43852530094857
348,McCurry Park,Park,Fayetteville,33.45836989641371,-84.4145679473877
349,Panera Bread,Bakery,Fayetteville,33.4754532,-84.4389893
350,Broadway Diner,Diner,Fayetteville,33.438886933750744,-84.45575679409909
351,Cinemark,Movie Theater,Fayetteville,33.47837737882004,-84.44471597671509
352,Chattahoochee Hills Eventing (Bouckaert Farm),Farm,Fairburn,33.635436267227185,-84.70897512560482
353,Lowe's,Hardware Store,Fayetteville,33.4722853,-84.4465828
354,Lexus South Atlanta,Auto Dealership,Union City,33.56429791428402,-84.51881972773513
355,Wendy's,Fast Food Restaurant,Fayetteville,33.4335442,-84.4562802
356,Chick-fil-A,Hawaiian Restaurant,Fayetteville,33.4464622,-84.4675288
357,La Parrilla Mexican Restaurant,Mexican Restaurant,Fayetteville,33.47921139,-84.43743146
358,Kenwood Park,Park,Fayetteville,33.517463367365636,-84.43847974589181
359,Hobby Lobby,Fabric Shop,Fayetteville,33.478444,-84.440155
360,Publix,Grocery Store,Carrollton,33.560526527723134,-85.07504062315783
361,Bath & Body Works,Cosmetics Shop,Fayetteville,33.48153844128756,-84.44663427662633
362,Firehouse Subs,Sandwich Place,Fayetteville,33.456895,-84.453199
363,Milano's Pizza,Italian Restaurant,La Grange,33.12463606041188,-85.0424738188221
364,Old Navy,Clothing Store,Fayetteville,33.47855635580287,-84.44058001041412
365,The Bagel Meister,Bagel Shop,Douglasville,33.73105847693103,-84.73590588001757
366,Gumbeaux's Cajun Cafe,Cajun / Creole Restaurant,Douglasville,33.75072500225306,-84.7493858231114
367,Chick-fil-A,Fast Food Restaurant,Villa Rica,33.7289649,-84.9407001
368,Camp Creek World of Beverages,Liquor Store,Atlanta,33.657392954544385,-84.51187386910071
369,The Corner Grille,Restaurant,College Park,33.651016516417805,-84.44975348752914
370,Chicken & Beer,Fried Chicken Joint,Atlanta,33.638494329766836,-84.42931835167796
371,Topgolf,Golf Driving Range,Atlanta,33.7987376,-84.4276235
372,Atlanta Brewing Company,Brewery,Atlanta,33.81852406780174,-84.43481629950841
373,JCT Kitchen & Bar,Southern / Soul Food Restaurant,Atlanta,33.78652581106172,-84.41239947640516
374,Cobb Energy Performing Arts Centre,Performing Arts Venue,Atlanta,33.884471446155615,-84.45871547826654
